Date,Open,High,Low,Close,Volume
2012-02-10,14.7115,14.9105,14.6397,14.7843,751989382
2012-02-13,14.9745,15.0952,14.8949,15.0599,616153194
2012-02-14,15.1156,15.2677,15.0411,15.2647,549475656
2012-02-15,15.408,15.7683,14.8902,14.9124,1793575179
2012-02-16,14.7262,15.1275,14.5811,15.047,1125379587
2012-02-17,15.0756,15.2149,14.9921,15.044,638128942
2012-02-21,15.1932,15.4258,15.1039,15.4258,720602145
2012-02-22,15.3729,15.4454,15.2532,15.3719,575602885
2012-02-23,15.4328,15.5161,15.2657,15.4719,676802231
2012-02-24,15.5662,15.669,15.5396,15.6546,494812774
2012-02-27,15.6152,15.8351,15.469,15.7555,651745110
2012-02-28,15.8182,16.0421,15.7575,16.0421,714559767
